gbifid,datasetkey,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,countrycode,locality,publishingorgkey,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,coordinateprecision,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,license,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,mediatype,issue
1830950905,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Pleurodeles,Pleurodeles waltl,,SPECIES,Pleurodeles waltl Michahelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830950672,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Proteidae,Proteus,Proteus anguinus,,SPECIES,Proteus anguinus Laurenti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830950660,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Proteidae,Proteus,Proteus anguinus,,SPECIES,Proteus anguinus Laurenti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830950587,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Proteidae,Proteus,Proteus anguinus,,SPECIES,Proteus anguinus Laurenti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830950121,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Pseudotriton,Pseudotriton ruber,,SPECIES,Pseudotriton ruber (Sonnini de Manoncourt & Latreille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830950114,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Pseudotriton,Pseudotriton ruber,,SPECIES,Pseudotriton ruber (Sonnini de Manoncourt & Latreille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830950113,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Proteidae,Proteus,Proteus anguinus,,SPECIES,Proteus anguinus Laurenti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830950063,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,Plethodon glutinosus,,SPECIES,Plethodon glutinosus (Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830950053,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Pleurodeles,Pleurodeles waltl,,SPECIES,Pleurodeles waltl Michahelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830949987,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,Plethodon cinereus,,SPECIES,Plethodon cinereus (Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
